"","pid","location","yearbuilt","totval","bedrooms","bathrooms","halfbaths","pctgood","style","model","grade","occupancy","actype","bathstyle","kstyle","acres","exval"
"2069",2069,"70 MORSE PL","1941",198100,"2","1","0",78,"Ranch","Single Family","Average",1,"None","Average","Average",0.34,"3700"
"2070",2070,"MORSE PL",NA,60500,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.18,"No Data for Extra Features"
"2071",2071,"60 MORSE PL","1948",216100,"3","1","1",78,"Colonial","Single Family","Above Average",1,"None","Average","Average",0.18,"3700"
"2072",2072,"52 MORSE PL","1945",213000,"3","2","0",78,"Cape Cod","Single Family","Average",1,"None","Average","Average",0.34,"3700"
"2073",2073,"46 MORSE PL","1961",176000,"3","1","1",78,"Ranch","Single Family","Average",1,"None","Average","Average",0.18,"3700"
"2074",2074,"40 MORSE PL","1930",185000,"3","2","0",78,"Bungalow","Single Family","Average",1,"Central","Average","Average",0.19,"No Data for Extra Features"
"2075",2075,"34 MORSE PL","1930",233700,"5","3","0",78,"2 Family","Multi-Fam 2-4","Average",2,"None","Average","Average",0.19,"No Data for Extra Features"
"2076",2076,"30 MORSE PL","1950",122300,"2","1","0",55,"Bungalow","Single Family","Below Average",1,"None","Average","Average",0.19,"2600"
"2077",2077,"24 MORSE PL","1960",150800,"2","1","0",68,"Ranch","Single Family","Average",1,"Central","Average","Average",0.19,"No Data for Extra Features"
"2078",2078,"16 MORSE PL","1910",160000,"4","1","1",68,"Colonial, Bungalow","Single Family, Single Family","Average, Ave/Fair",2,"None, None","NA, Average","Average, Average",0.11,"No Data for Extra Features"
"2079",2079,"99 WOODWARD AV","1900",180200,"2","2","0",78,"2 Family","Multi-Fam 2-4","Above Average",2,"None","Average","Average",0.16,"No Data for Extra Features"
"2080",2080,"105 WOODWARD AV","1957",165500,"3","1","0",68,"Cape Cod","Single Family","Average",1,"None","Average","Average",0.24,"No Data for Extra Features"
"2081",2081,"109 WOODWARD AV","1900",190900,"3","1","1",68,"Colonial","Single Family","Above Average",1,"None","Average","Average",0.23,"No Data for Extra Features"
"2082",2082,"115 WOODWARD AV","1956",167500,"1","1","0",78,"Cape Cod","Single Family","Average",1,"None","Average","Average",0.48,"2400"
"2083",2083,"5 MORSE PL","1930",118500,"2","1","0",68,"Ranch","Single Family","Below Average",1,"None","Average","Average",0.1,"No Data for Extra Features"
"2084",2084,"11 MORSE PL","1925",185200,"2","2","0",68,"Colonial","Single Family","Above Average",1,"None","Average","Average",0.11,"3200"
"2085",2085,"17 MORSE PL","1952",173200,"3","2",NA,68,"Cape Cod","Single Family","Average",1,"None","Average","Average",0.17,"600"
"2086",2086,"MORSE PL",NA,57800,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.12,"No Data for Extra Features"
"2087",2087,"27 MORSE PL","1957",165600,"3","1","0",68,"Ranch","Single Family","Average",1,"None","Average","Average",0.15,"500"
"2088",2088,"35 MORSE PL","1950",202200,"2","1","1",78,"Ranch","Single Family","Above Average",1,"None","Average","Average",0.23,"3700"
"2089",2089,"41 MORSE PL","1960",261500,"3","2","0",78,"Ranch","Single Family","Above Average",1,"Central","Average","Average",0.22,"3700"
"2090",2090,"49 MORSE PL","1950",271700,"4","1","1",78,"Cape Cod","Single Family","Above Average",1,"None","Average","Average",0.31,"3700"
"2091",2091,"57 MORSE PL","1957",147000,"3","1","0",68,"Cape Cod","Single Family","Average",1,"None","Average","Average",0.14,"No Data for Extra Features"
"2092",2092,"61 MORSE PL","1942",162200,"2","1","1",68,"Cape Cod","Single Family","Average",1,"None","Average","Average",0.14,"3200"
"2093",2093,"65 MORSE PL","1930",163000,"2","1","0",78,"Cape Cod","Single Family","Average",1,"Central","Average","Average",0.14,"No Data for Extra Features"
"2094",2094,"75 MORSE PL","1953",168600,"3","1","0",68,"Ranch","Single Family","Average",1,"None","Average","Average",0.41,"3200"
"2095",2095,"536 TOWNSEND AV","1862",236800,"4","2","0",68,"2 Family","Multi-Fam 2-4","Above Average",2,"None","Average","Average",0.34,"No Data for Extra Features"
"2096",2096,"534 TOWNSEND AV","1941",239600,"3","1","1",68,"Colonial","Single Family","Above Average",1,"Central","Average","Average",0.45,"3200"
"2097",2097,"530 TOWNSEND AV","1920",205900,"4","1","1",68,"Colonial","Single Family","Above Average",1,"Central","Average","Average",0.34,"No Data for Extra Features"
"2098",2098,"518 TOWNSEND AV","1940",208200,"3","1","0",68,"Ranch","Single Family","Above Average",1,"Central","Average","Average",0.49,"3200"
"2099",2099,"512 TOWNSEND AV","1915",604100,"7","7","0",85,"Apt House","Multi-Fam 5-12","Ave/Good",7,"None",NA,NA,0.24,"8000"
"2100",2100,"506 TOWNSEND AV","1920",196100,"3","1","0",78,"Colonial","Single Family","Above Average",1,"None","Average","Average",0.15,"3700"
"2101",2101,"500 TOWNSEND AV","1928",231400,"3","1","0",78,"Colonial","Single Family","Above Average",1,"Central","Average","Average",0.26,"3700"
"2102",2102,"84 POPE ST","1978",197300,"3","1","0",86,"Raised Ranch","Single Family","Average",1,"Central","Average","Average",0.24,"No Data for Extra Features"
"2103",2103,"78 POPE ST","1978",170800,"2","1","0",86,"Raised Ranch","Single Family","Average",1,"Central","Average","Average",0.17,"No Data for Extra Features"
"2104",2104,"72 POPE ST","1977",234100,"3","1","0",91,"Raised Ranch","Single Family","Average",1,"None","Average","Average",0.17,"No Data for Extra Features"
"2105",2105,"66 POPE ST","1977",199600,"2","2","0",86,"Cape Cod","Single Family","Average",1,"Central","Average","Average",0.17,"4000"
"2106",2106,"62 POPE ST","1980",199900,"3","1","1",87,"Raised Ranch","Single Family","Average",1,"Central","Average","Average",0.15,"No Data for Extra Features"
"2107",2107,"58 POPE ST","1978",189800,"3","1","1",86,"Raised Ranch","Single Family","Average",1,"None","Average","Average",0.17,"No Data for Extra Features"
"2108",2108,"54 POPE ST","1977",196900,"3","2","0",86,"Raised Ranch","Single Family","Average",1,"Central","Average","Average",0.17,"No Data for Extra Features"
"2109",2109,"48 POPE ST","1980",218200,"3","2","0",87,"Raised Ranch","Single Family","Average",1,"None","Average","Average",0.37,"No Data for Extra Features"
"2110",2110,"44 POPE ST","1958",182800,"2","2","0",78,"Cape Cod","Single Family","Average",1,"Central","Average","Average",0.14,"3700"
"2111",2111,"38 POPE ST","1954",145600,"2","1","0",68,"Cape Cod","Single Family","Average",1,"None","Average","Average",0.26,"No Data for Extra Features"
"2112",2112,"34 POPE ST","1956",172700,"2","1","0",78,"Cape Cod","Single Family","Average",1,"Central","Average","Average",0.25,"No Data for Extra Features"
"2113",2113,"28 POPE ST","1950",154600,"2","2","0",68,"Cape Cod","Single Family","Average",1,"None","Average","Average",0.24,"No Data for Extra Features"
"2114",2114,"24 POPE ST","1950",166100,"4","1","0",78,"Cape Cod","Single Family","Average",1,"None","Average","Average",0.23,"No Data for Extra Features"
"2115",2115,"20 POPE ST","1920",179900,"2","1","1",78,"Cape Cod","Single Family","Ave/Good",1,"None","Average","Average",0.2,"3700"
"2116",2116,"14 POPE ST","1875",190300,"3","1","0",90,"Cape Cod","Single Family","Average",1,"Central","Average","Average",0.19,"4200"
"2117",2117,"10 POPE ST","1955",167900,"3","1","1",78,"Cape Cod","Single Family","Average",1,"Central","Average","Average",0.12,"No Data for Extra Features"
"2118",2118,"69 WOODWARD AV","1893",223600,"4","1","1",78,"Colonial","Single Family","Ave/Good",1,"None","Average","Average",0.11,"No Data for Extra Features"
"2119",2119,"75 WOODWARD AV","2004",216300,"3","2","0",88,"Raised Ranch","Single Family","Above Average",1,"Central","Average","Average",0.16,"No Data for Extra Features"
"2120",2120,"81 WOODWARD AV","1928",183000,"3","2","0",68,"Colonial","Single Family","Above Average",1,"None","Average","Average",0.19,"3200"
"2121",2121,"85 WOODWARD AV","1928",170800,"3","1","1",68,"Colonial","Single Family","Above Average",1,"None","Average","Average",0.11,"3200"
"2122",2122,"408 TOWNSEND AV",NA,5657200,NA,NA,NA,NA,"Outbuildings",NA,NA,NA,NA,NA,NA,21.03,"No Data for Extra Features"
"2123",2123,"390 TOWNSEND AV","1905",348100,"0","0",NA,60,NA,NA,NA,4,NA,NA,NA,0.56,"2200"
"2124",2124,"382 TOWNSEND AV","1920",138200,"3","1","1",55,"Colonial","Single Family","Average",1,"None","Average","Average",0.35,"No Data for Extra Features"
"2125",2125,"378 TOWNSEND AV","1900",227100,"4","2","0",78,"2 Family","Multi-Fam 2-4","Average",2,"None","Average","Average",0.35,"No Data for Extra Features"
"2126",2126,"372 TOWNSEND AV","1900",185300,"3","1","1",66,"Colonial","Single Family","Average",1,"None","Below Average","Below Average",0.35,"No Data for Extra Features"
"2127",2127,"366 TOWNSEND AV","1900",223700,"6","3","0",78,"2 Family","Multi-Fam 2-4","Average",2,"None","Average","Average",0.34,"No Data for Extra Features"
"2128",2128,"362 TOWNSEND AV","1900",278200,"4","3","0",78,"3 Family","Multi-Fam 2-4","Above Average",3,"None","Average","Average",0.33,"3700"
"2129",2129,"356 TOWNSEND AV","1920",181000,"3","1","0",66,"Colonial","Single Family","Above Average",1,"None","Average","Average",0.31,"3100"
"2130",2130,"352 TOWNSEND AV","1911",216000,"3","2","0",78,"Cape Cod","Single Family","Above Average",1,"None","Average","Average",0.37,"3700"
"2131",2131,"348 TOWNSEND AV","1956",236200,"4","2","0",78,"2 Family","Multi-Fam 2-4","Above Average",2,"None","Average","Average",0.36,"3700"
"2132",2132,"340 TOWNSEND AV","1930",197200,"3","1","0",78,"Cape Cod","Single Family","Above Average",1,"None","Average","Average",0.34,"3700"
"2133",2133,"328 TOWNSEND AV","1931",218400,"3","2","0",78,"Colonial","Single Family","Above Average",1,"None","Average","Average",0.32,"3700"
"2134",2134,"324 TOWNSEND AV","1800",199800,"5","2","0",78,"Cape Cod","Single Family","Average",1,"None","Average","Average",0.47,"3700"
"2135",2135,"TOWNSEND AV",NA,218000,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.45,"No Data for Extra Features"
"2136",2136,"30 WOODWARD AV","1977",6156600,"0","0",NA,75,NA,NA,NA,2,NA,NA,NA,6.3,"35300"
"2137",2137,"WOODWARD AV",NA,3875900,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,13.1,"No Data for Extra Features"
"2138",2138,"WOODWARD AV","1970",3758900,"0","0",NA,65,NA,NA,NA,2,NA,NA,NA,9.39,"No Data for Extra Features"
"2139",2139,"112 WOODWARD AV","1957",205200,"3","1","0",78,"Ranch","Single Family","Average",1,"Central","Average","Average",0.36,"3700"
"2140",2140,"104 WOODWARD AV","1947",159700,"3","2","0",78,"Cape Cod","Single Family","Average",1,"None","Average","Average",0.19,"No Data for Extra Features"
"2141",2141,"100 WOODWARD AV","1945",164400,"4","1","1",78,"Cape Cod","Single Family","Average",1,"None","Average","Average",0.18,"No Data for Extra Features"
"2142",2142,"94 WOODWARD AV","1946",177800,"3","2","1",78,"Cape Cod","Single Family","Average",1,"None","Average","Average",0.17,"No Data for Extra Features"
"2143",2143,"90 WOODWARD AV","1946",158100,"3","1","1",78,"Cape Cod","Single Family","Average",1,"None","Average","Average",0.17,"No Data for Extra Features"
"2144",2144,"86 WOODWARD AV","1900",175300,"3","1","0",68,"Colonial","Single Family","Above Average",1,"None","Average","Average",0.16,"3200"
"2145",2145,"80 WOODWARD AV","1948",158300,"4","1","0",78,"Cape Cod","Single Family","Average",1,"Central","Average","Average",0.15,"No Data for Extra Features"
"2146",2146,"76 WOODWARD AV","1945",186800,"3","1","0",78,"Colonial","Single Family","Above Average",1,"Central","Average","Average",0.15,"No Data for Extra Features"
"2147",2147,"70 WOODWARD AV","1947",176500,"4","2","0",78,"Cape Cod","Single Family","Average",1,"None","Average","Average",0.14,"No Data for Extra Features"
"2148",2148,"66 WOODWARD AV","1945",146900,"3","2","0",68,"Cape Cod","Single Family","Average",1,"Central","Average","Average",0.13,"No Data for Extra Features"
"2149",2149,"60 WOODWARD AV","1920",158300,"3","1","0",68,"Colonial","Single Family","Above Average",1,"Central","Average","Average",0.13,"3200"
"2150",2150,"56 WOODWARD AV","1930",216000,"3","2","0",90,"Colonial","Single Family","Above Average",1,"None","Average","Average",0.12,"0"
"2151",2151,"50 WOODWARD AV","1940",238900,"3","2","0",93,"Colonial","Single Family","Above Average",1,"Central","Average","Average",0.11,"4400"
"2152",2152,"46 WOODWARD AV","1920",203900,"3","2","0",78,"Colonial","Single Family","Above Average",1,"None","Average","Average",0.1,"3700"
"2153",2153,"WOODWARD AV",NA,70000,NA,NA,NA,NA,"Outbuildings",NA,NA,NA,NA,NA,NA,0.66,"No Data for Extra Features"
"2154",2154,"300 WOODWARD AV","1960",15660700,"0","0",NA,65.75,NA,NA,NA,4,NA,NA,NA,64.06,"1500"
"2155",2155,"1 WATERFRONT ST",NA,1064000,NA,NA,NA,NA,"Outbuildings",NA,NA,NA,NA,NA,NA,11.1,"No Data for Extra Features"
"2156",2156,"WATERFRONT ST",NA,1356900,NA,NA,NA,NA,"Outbuildings",NA,NA,NA,NA,NA,NA,5.34,"No Data for Extra Features"
"2157",2157,"600 CONNECTICUT AV","1975",29845800,"0","0",NA,87.6363636363636,NA,NA,NA,11,NA,NA,NA,71.34,"100000"
"2158",2158,"345 EAST SHORE PKWY","1992",291733100,"0","0",NA,85,NA,NA,NA,4,NA,NA,NA,10.23,"No Data for Extra Features"
"2159",2159,"EAST SHORE PKWY",NA,66200,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,1.03,"No Data for Extra Features"
"2160",2160,"EAST SHORE PKWY",NA,515900,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,2.75,"No Data for Extra Features"
"2161",2161,"EAST SHORE PKWY",NA,1555700,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,11.61,"No Data for Extra Features"
"2162",2162,"444 WOODWARD AV","1900",213200,"4","2","1",78,"Colonial","Single Family","Above Average",1,"None","Average","Average",0.42,"No Data for Extra Features"
"2163",2163,"448 WOODWARD AV","1910",181300,"3","2","0",68,"Cape Cod","Single Family","Above Average",1,"Central","Average","Average",0.41,"No Data for Extra Features"
"2164",2164,"456 WOODWARD AV","1910",154500,"3","1","0",68,"Colonial","Single Family","Above Average",1,"None","Average","Average",0.4,"No Data for Extra Features"
"2165",2165,"460 WOODWARD AV","1890",157500,"3","1","0",68,"Cape Cod","Single Family","Average",1,"None","Average","Average",0.4,"3200"
"2166",2166,"462 WOODWARD AV","1910",180700,"3","1","1",68,"Colonial","Single Family","Above Average",1,"None","Average","Above Average",0.39,"No Data for Extra Features"
"2167",2167,"466 WOODWARD AV",NA,47600,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.37,"No Data for Extra Features"
"2168",2168,"470 WOODWARD AV","1967",162800,"4","2","1",72,"2 Family","Multi-Fam 2-4","Average",2,"None","Average","Average",0.14,"3400"
"2169",2169,"480 WOODWARD AV","1966",906700,"2","1","1",60,"Old Style","Single Family","Average",15,"None","Average","Average",1.12,"No Data for Extra Features"
"2170",2170,"490 WOODWARD AV","1966",325000,"0","0",NA,45,NA,NA,NA,7,NA,NA,NA,0.48,"No Data for Extra Features"
"2171",2171,"512 WOODWARD AV #1","1987",134700,"3","2","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2172",2172,"504 WOODWARD AV #2","1987",139200,"3","1","1",90,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2173",2173,"496 WOODWARD AV #3","1987",127600,"2","1","1",90,NA,NA,NA,1,"Central","Average","Average",0,"4200"
"2174",2174,"496 WOODWARD AV #4","1987",123400,"2","1","1",90,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2175",2175,"498 WOODWARD AV #5","1987",126600,"2","1","1",90,NA,NA,NA,1,"Central","Average","Average",0,"4200"
"2176",2176,"498 WOODWARD AV #6","1987",122400,"2","1","1",90,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2177",2177,"498 WOODWARD AV #7","1987",122400,"2","1","1",90,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2178",2178,"500 WOODWARD AV #8","1987",127200,"2","1","1",90,NA,NA,NA,1,"Central","Average","Average",0,"4200"
"2179",2179,"500 WOODWARD AV #9","1987",127600,"2","1","1",90,NA,NA,NA,1,"Central","Average","Average",0,"4200"
"2180",2180,"502 WOODWARD AV #10","1987",127600,"2","1","1",90,NA,NA,NA,1,"Central","Average","Average",0,"4200"
"2181",2181,"502 WOODWARD AV #11","1987",127600,"2","1","1",90,NA,NA,NA,1,"Central","Average","Average",0,"4200"
"2182",2182,"506 WOODWARD AV #12","1987",127600,"2","1","1",90,NA,NA,NA,1,"Central","Average","Average",0,"4200"
"2183",2183,"506 WOODWARD AV #13","1987",127600,"2","1","1",90,NA,NA,NA,1,"Central","Average","Average",0,"4200"
"2184",2184,"508 WOODWARD AV #14","1987",127600,"2","1","1",90,NA,NA,NA,1,"Central","Average","Average",0,"4200"
"2185",2185,"508 WOODWARD AV #15","1987",127600,"2","1","1",90,NA,NA,NA,1,"Central","Average","Average",0,"4200"
"2186",2186,"514 WOODWARD AV #16","1987",127600,"2","1","1",90,NA,NA,NA,1,"Central","Average","Average",0,"4200"
"2187",2187,"514 WOODWARD AV #17","1987",127600,"2","1","1",90,NA,NA,NA,1,"Central","Average","Average",0,"4200"
"2188",2188,"516 WOODWARD AV #18","1987",127600,"2","1","1",90,NA,NA,NA,1,"Central","Average","Average",0,"4200"
"2189",2189,"516 WOODWARD AV #19","1987",127600,"2","1","1",90,NA,NA,NA,1,"Central","Average","Average",0,"4200"
"2190",2190,"518 WOODWARD AV #20","1987",127600,"2","1","1",90,NA,NA,NA,1,"Central","Average","Average",0,"4200"
"2191",2191,"518 WOODWARD AV #21","1987",127600,"2","1","1",90,NA,NA,NA,1,"Central","Average","Average",0,"4200"
"2192",2192,"510 WOODWARD AV #22","1987",126600,"2","1","1",90,NA,NA,NA,1,"Central","Average","Average",0,"4200"
"2193",2193,"510 WOODWARD AV #23","1987",126600,"2","1","1",90,NA,NA,NA,1,"Central","Average","Average",0,"4200"
"2194",2194,"510 WOODWARD AV #24","1987",120300,"2","1","0",90,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2195",2195,"522 WOODWARD AV","1925",153700,"2","2",NA,78,"Cape Cod","Single Family","Average",1,"None","Average","Average",0.24,"No Data for Extra Features"
"2196",2196,"524 WOODWARD AV","1890",129700,"2","1","0",68,"Colonial","Single Family","Average",1,"None","Average","Average",0.14,"No Data for Extra Features"
"2197",2197,"528 WOODWARD AV","1900",139400,"3","1","0",78,"Colonial","Single Family","Average",1,"None","Average","Average",0.14,"No Data for Extra Features"
"2198",2198,"534 WOODWARD AV #1","1984",44900,"1","1","0",84,NA,NA,NA,1,"None","Average","Average",0,"No Data for Extra Features"
"2199",2199,"536 WOODWARD AV #2","1984",41700,"1","1","0",84,NA,NA,NA,1,"None","Average","Average",0,"No Data for Extra Features"
"2200",2200,"538 WOODWARD AV #3","1984",41700,"1","1","0",84,NA,NA,NA,1,"None","Average","Average",0,"No Data for Extra Features"
"2201",2201,"540 WOODWARD AV #4","1984",41700,"1","1","0",84,NA,NA,NA,1,"None","Average","Average",0,"No Data for Extra Features"
"2202",2202,"542 WOODWARD AV #5","1984",43800,"1","1","0",84,NA,NA,NA,1,"None","Average","Average",0,"No Data for Extra Features"
"2203",2203,"544 WOODWARD AV #6","1984",41700,"1","1","0",84,NA,NA,NA,1,"None","Average","Average",0,"No Data for Extra Features"
"2204",2204,"548 WOODWARD AV","1890",150400,"5","2","0",68,"2 Family","Multi-Fam 2-4","Above Average",2,"None","Average","Average",0.17,"No Data for Extra Features"
"2205",2205,"560 WOODWARD AV","1950",855800,"0","0",NA,55,NA,NA,NA,1,NA,NA,NA,2.35,"No Data for Extra Features"
"2206",2206,"WOODWARD AV",NA,41700,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.18,"No Data for Extra Features"
"2207",2207,"576 WOODWARD AV","1900",159500,"4","2","0",68,"2 Family","Multi-Fam 2-4","Above Average",2,"Central","Average","Average",0.17,"No Data for Extra Features"
"2208",2208,"582 WOODWARD AV","1900",195700,"4","3","0",73,"2 Family, Colonial","Multi-Fam 2-4, Single Family","Above Average, Below Average",3,"None, None","NA, Average","Average, Average",0.22,"No Data for Extra Features"
"2209",2209,"590 WOODWARD AV","1900",119100,"2","1","0",68,"Colonial","Single Family","Average",1,"None","Average","Average",0.17,"No Data for Extra Features"
"2210",2210,"594 WOODWARD AV","1951",125200,"2","1","0",68,"Ranch","Single Family","Average",1,"None","Average","Average",0.19,"No Data for Extra Features"
"2211",2211,"546 WOODWARD AV","1988",323000,"9+","4","1",93,"3 Family","Multi-Fam 2-4","Very Good",3,"None","Average","Average",0.21,"No Data for Extra Features"
"2212",2212,"6 UPSON TER","1920",232100,"4","3","0",78,"Cape Cod","Single Family","Ave/Good",1,"Central","Average","Average",0.13,"3700"
"2213",2213,"457 WOODWARD AV","1920",132300,"3","2","0",68,"2 Family","Multi-Fam 2-4","Average",2,"None","Average","Average",0.16,"3200"
"2214",2214,"461 WOODWARD AV","1920",172800,"4","3","0",68,"2 Family","Multi-Fam 2-4","Above Average",2,"Central","Average","Average",0.16,"3200"
"2215",2215,"465 WOODWARD AV","1925",185200,"5","3","0",68,"3 Family","Multi-Fam 2-4","Average",2,"None","Average","Average",0.28,"No Data for Extra Features"
"2216",2216,"477 WOODWARD AV","1962",139200,"2","1","0",68,"Ranch","Single Family","Average",1,"None","Average","Average",0.21,"No Data for Extra Features"
"2217",2217,"481 WOODWARD AV","1920",133300,"3","2","0",68,"2 Family","Multi-Fam 2-4","Above Average",2,"None","Average","Average",0.21,"No Data for Extra Features"
"2218",2218,"489 WOODWARD AV","1885",146500,"3","2","0",68,"2 Family","Multi-Fam 2-4","Above Average",2,"None","Average","Average",0.21,"No Data for Extra Features"
"2219",2219,"493 WOODWARD AV","1900",152200,"2","2","0",68,"Cape Cod","Single Family","Above Average",1,"None","Average","Average",0.31,"3200"
"2220",2220,"503 WOODWARD AV","1988",139500,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"4000"
"2221",2221,"507 WOODWARD AV","1988",172100,"3","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"4000"
"2222",2222,"509 WOODWARD AV #A","1988",136200,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"4000"
"2223",2223,"509 WOODWARD AV #B","1988",132200,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2224",2224,"509 WOODWARD AV #C","1988",132200,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2225",2225,"509 WOODWARD AV #D","1988",135500,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2226",2226,"509 WOODWARD AV #E","1988",144500,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"4000"
"2227",2227,"511 WOODWARD AV #A","1988",107900,"1","1","0",86,NA,NA,NA,1,"Central","Average","Average",0,"4000"
"2228",2228,"511 WOODWARD AV #B","1988",107900,"1","1","0",86,NA,NA,NA,1,"Central","Average","Average",0,"4000"
"2229",2229,"511 WOODWARD AV #C","1988",132200,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2230",2230,"511 WOODWARD AV #D","1988",132200,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2231",2231,"511 WOODWARD AV #E","1988",132200,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2232",2232,"511 WOODWARD AV #F","1988",132200,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2233",2233,"511 WOODWARD AV #G","1988",132200,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2234",2234,"511 WOODWARD AV #H","1988",132200,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2235",2235,"511 WOODWARD AV #I","1988",132200,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2236",2236,"513 WOODWARD AV #A","1988",136200,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"4000"
"2237",2237,"513 WOODWARD AV #B","1988",132200,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2238",2238,"513 WOODWARD AV #C","1988",132200,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2239",2239,"513 WOODWARD AV #D","1988",130500,"2","1","1",86,NA,NA,NA,1,"None","Average","Average",0,"No Data for Extra Features"
"2240",2240,"513 WOODWARD AV #E","1988",132200,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2241",2241,"515 WOODWARD AV #A","1985",125900,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2242",2242,"515 WOODWARD AV #B","1985",125900,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2243",2243,"515 WOODWARD AV #C","1985",127600,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2244",2244,"515 WOODWARD AV #D","1985",125900,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2245",2245,"519 WOODWARD AV #A","1985",125900,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2246",2246,"519 WOODWARD AV #B","1985",125900,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2247",2247,"521 WOODWARD AV #A","1985",125900,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2248",2248,"521 WOODWARD AV #B","1985",125900,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2249",2249,"525 WOODWARD AV #A","1986",125900,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2250",2250,"525 WOODWARD AV #B","1986",125900,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2251",2251,"525 WOODWARD AV #C","1986",125900,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2252",2252,"525 WOODWARD AV #D","1986",125900,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2253",2253,"529 WOODWARD AV #A","1985",125900,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2254",2254,"529 WOODWARD AV #B","1985",125900,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2255",2255,"529 WOODWARD AV #C","1985",125900,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2256",2256,"529 WOODWARD AV #D","1985",125900,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2257",2257,"531 WOODWARD AV #A","1985",125900,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2258",2258,"531 WOODWARD AV #B","1985",125900,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"2259",2259,"531 WOODWARD AV #C","1985",125900,"2","1","1",86,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
