"","pid","location","yearbuilt","totval","bedrooms","bathrooms","halfbaths","pctgood","style","model","grade","occupancy","actype","bathstyle","kstyle","acres","exval"
"13937",13937,"107 WINCHESTER AV","1903",259500,"5","2","1",68,"2 Family","Multi-Fam 2-4","Above Average",2,"None","Average","Average",0.08,"No Data for Extra Features"
"13938",13938,"113 WINCHESTER AV","1900",259000,"6","2","0",68,"2 Family","Multi-Fam 2-4","Above Average",2,"None","Average","Average",0.09,"No Data for Extra Features"
"13939",13939,"117 WINCHESTER AV","1925",265500,"6","3","0",68,"3 Family","Multi-Fam 2-4","Above Average",3,"None","Average","Average",0.09,"No Data for Extra Features"
"13940",13940,"123 WINCHESTER AV","1915",255200,"5","2","0",68,"2 Family","Multi-Fam 2-4","Above Average",2,"None","Average","Average",0.14,"No Data for Extra Features"
"13941",13941,"127 WINCHESTER AV","1900",219700,"4","2","0",68,"2 Family","Multi-Fam 2-4","Above Average",2,"None","Average","Average",0.17,"No Data for Extra Features"
"13942",13942,"139 WINCHESTER AV","1910",268500,"4","2","1",97,"Colonial","Single Family","Above Average",1,"None","Average","Average",0.15,"No Data for Extra Features"
"13943",13943,"143 WINCHESTER AV","1916",166200,"4","1","1",68,"Colonial","Single Family","Average",1,"None","Average","Average",0.11,"No Data for Extra Features"
"13944",13944,"149 WINCHESTER AV","1900",158600,"2","2","0",68,"Colonial","Single Family","Average",1,"None","Average","Average",0.05,"No Data for Extra Features"
"13945",13945,"153 WINCHESTER AV","1910",237900,"5","3","0",78,"2 Family","Multi-Fam 2-4","Above Average",2,"None","Average","Average",0.05,"No Data for Extra Features"
"13946",13946,"157 WINCHESTER AV","1930",133600,"0","0",NA,50,NA,NA,NA,1,NA,NA,NA,0.06,"No Data for Extra Features"
"13947",13947,"34 WOODLAND ST","1905",167400,"3","1","1",68,"Colonial","Single Family","Above Average",1,"None","Average","Average",0.09,"3200"
"13948",13948,"30 WOODLAND ST","1900",149200,"2","1","0",68,"Cape Cod","Single Family","Average",1,"None","Average","Average",0.13,"No Data for Extra Features"
"13949",13949,"26 WOODLAND ST","1915",3e+05,"6","3","0",68,"2 Family","Multi-Fam 2-4","Ave/Good",2,"None","Average","Average",0.19,"No Data for Extra Features"
"13950",13950,"22 WOODLAND ST","1905",257000,"4","2","0",68,"2 Family","Multi-Fam 2-4","Ave/Good",2,"None","Average","Average",0.2,"No Data for Extra Features"
"13951",13951,"16 WOODLAND ST","1915",372500,"6","3","0",78,"3 Family","Multi-Fam 2-4","Ave/Good",3,"None","Average","Average",0.2,"3700"
"13952",13952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13953",13953,"142 MANSFIELD ST","1915",419100,"6","3","0",78,"2 Family","Multi-Fam 2-4","Ave/Good",2,"Central","Average","Average",0.12,"No Data for Extra Features"
"13954",13954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13955",13955,"134 MANSFIELD ST","1914",369300,"5","3","0",78,"3 Family","Multi-Fam 2-4","Ave/Good",3,"None","Average","Average",0.12,"No Data for Extra Features"
"13956",13956,"130 MANSFIELD ST","1915",363000,"6","3","0",78,"3 Family","Multi-Fam 2-4","Ave/Good",3,"None","Average","Average",0.13,"No Data for Extra Features"
"13957",13957,"126 MANSFIELD ST","1915",409200,"6","3","0",78,"3 Family","Multi-Fam 2-4","Ave/Good",3,"None","Average","Average",0.14,"No Data for Extra Features"
"13958",13958,"122 MANSFIELD ST","1915",355900,"5","2","0",78,"2 Family","Multi-Fam 2-4","Ave/Good",2,"None","Average","Average",0.14,"No Data for Extra Features"
"13959",13959,"116 MANSFIELD ST","1915",424500,"8","3","0",73,"3 Family","Multi-Fam 2-4","Ave/Good",3,"None","Average","Average",0.14,"3400"
"13960",13960,"17 COMPTON ST","1900",221000,"7","2","0",55,"Colonial","Single Family","Above Average",1,"None","Average","Average",0.1,"No Data for Extra Features"
"13961",13961,"21 COMPTON ST #21A","1987",160300,"2","2","1",90,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"13962",13962,"21 COMPTON ST #21B","1987",160300,"2","2","1",90,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"13963",13963,"21 COMPTON ST #21C","1987",160300,"2","2","1",90,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"13964",13964,"21 COMPTON ST #21D","1987",155700,"2","2","1",90,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"13965",13965,"21 COMPTON ST #21E","1987",160300,"2","2","1",90,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"13966",13966,"21 COMPTON ST #21F","1987",163600,"2","2","1",90,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"13967",13967,"23 COMPTON ST #23A","1987",160300,"2","2","1",90,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"13968",13968,"23 COMPTON ST #23B","1987",160300,"2","2","1",90,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"13969",13969,"23 COMPTON ST #23C","1987",160300,"2","2","1",90,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"13970",13970,"23 COMPTON ST #23D","1987",160300,"2","2","1",90,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"13971",13971,"23 COMPTON ST #23E","1987",160300,"2","2","1",90,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"13972",13972,"200 PROSPECT ST","1890",2073300,"9+","12","0",74,"3 Family, 3 Family, 3 Family, 2 Family, Apt House","Multi-Fam 2-4, Multi-Fam 2-4, Multi-Fam 2-4, Multi-Fam 2-4, Multi-Fam 5-12","Above Average, Above Average, Above Average, Above Average, Ave/Good",18,"None, None, None, None, None","NA, Average, Average, Average, Average","Average, Average, Average, Average, Average",1.14,"12800"
"13973",13973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13974",13974,"79 MANSFIELD ST","1905",363500,"5","3","0",78,"3 Family","Multi-Fam 2-4","Ave/Good",3,"None","Average","Average",0.12,"No Data for Extra Features"
"13975",13975,"83 MANSFIELD ST","1910",370900,"5","3","0",78,"3 Family","Multi-Fam 2-4","Ave/Good",3,"None","Average","Average",0.12,"No Data for Extra Features"
"13976",13976,"91 MANSFIELD ST","1915",345200,"7","2","0",78,"2 Family","Multi-Fam 2-4","Ave/Good",2,"None","Average","Average",0.12,"No Data for Extra Features"
"13977",13977,"93 MANSFIELD ST","1910",369800,"6","3","0",78,"3 Family","Multi-Fam 2-4","Ave/Good",3,"None","Average","Average",0.11,"No Data for Extra Features"
"13978",13978,"97 MANSFIELD ST","1910",851800,"13","6","1",74.6666666666667,"2 Family, 2 Family, Colonial","Multi-Fam 2-4, Multi-Fam 2-4, Single Family","Ave/Good, Ave/Good, Ave/Good",5,"None, None, None","NA, Average, Average","Average, Average, Average",0.44,"3700"
"13979",13979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13980",13980,"105 MANSFIELD ST","1900",406300,"8","3","0",63,"3 Family","Multi-Fam 2-4","Ave/Good",3,"None","Below Average","Average",0.15,"No Data for Extra Features"
"13981",13981,"107 MANSFIELD ST","1905",474700,"8","4","0",73,"2 Family, Old Style","Multi-Fam 2-4, Single Family","Ave/Good, Above Average",3,"None, None","NA, Average","Average, Average",0.16,"No Data for Extra Features"
"13982",13982,"109 MANSFIELD ST","1900",488600,"6","3","0",90,"3 Family","Multi-Fam 2-4","Ave/Good",3,"None","Average","Average",0.33,"No Data for Extra Features"
"13983",13983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13984",13984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13985",13985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13986",13986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13987",13987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13988",13988,"151 MANSFIELD ST","1900",335800,"4","2","0",78,"2 Family","Multi-Fam 2-4","Ave/Good",2,"None","Average","Average",0.14,"No Data for Extra Features"
"13989",13989,"153 MANSFIELD ST","1900",258400,"3","1","0",78,"Colonial","Single Family","Ave/Good",1,"None","Average","Average",0.14,"No Data for Extra Features"
"13990",13990,"155 MANSFIELD ST","1905",362000,"6","3","0",78,"3 Family","Multi-Fam 2-4","Ave/Good",3,"None","Average","Average",0.11,"No Data for Extra Features"
"13991",13991,"159 MANSFIELD ST","1900",363600,"6","3","0",78,"3 Family","Multi-Fam 2-4","Ave/Good",3,"None","Average","Average",0.11,"No Data for Extra Features"
"13992",13992,"163 MANSFIELD ST","1917",346700,"6","3","0",78,"2 Family","Multi-Fam 2-4","Ave/Good",2,"None","Average","Average",0.11,"No Data for Extra Features"
"13993",13993,"171 MANSFIELD ST","1890",190200,"2","1","0",78,"Colonial","Single Family","Above Average",1,"None","Average","Average",0.1,"No Data for Extra Features"
"13994",13994,"173 MANSFIELD ST","1905",422000,"6","3","0",78,"3 Family","Multi-Fam 2-4","Ave/Good",3,"None","Average","Average",0.48,"3700"
"13995",13995,"173 MANSFIELD ST","1900",234900,"3","1","1",78,"Colonial","Single Family","Above Average",1,"None","Average","Average",0.34,"No Data for Extra Features"
"13996",13996,"179 MANSFIELD ST","1900",224100,"2","1","0",78,"Colonial","Single Family","Ave/Good",1,"None","Average","Average",0.11,"No Data for Extra Features"
