"pid","location","city","state","zip"
183,"675 TOWNSEND AV #189","New Haven","CT",""
184,"675 TOWNSEND AV #182","New Haven","CT",""
185,"675 TOWNSEND AV #183","New Haven","CT",""
186,"675 TOWNSEND AV #184","New Haven","CT",""
187,"675 TOWNSEND AV #185","New Haven","CT",""
188,"675 TOWNSEND AV #176","New Haven","CT",""
189,"675 TOWNSEND AV #177","New Haven","CT",""
190,"675 TOWNSEND AV #172","New Haven","CT",""
191,"675 TOWNSEND AV #173","New Haven","CT",""
192,"675 TOWNSEND AV #174","New Haven","CT",""
193,"675 TOWNSEND AV #175","New Haven","CT",""
194,"675 TOWNSEND AV #152","New Haven","CT",""
195,"675 TOWNSEND AV #153","New Haven","CT",""
196,"675 TOWNSEND AV #148","New Haven","CT",""
197,"675 TOWNSEND AV #149","New Haven","CT",""
198,"675 TOWNSEND AV #150","New Haven","CT",""
199,"675 TOWNSEND AV #151","New Haven","CT",""
200,"675 TOWNSEND AV #144","New Haven","CT",""
201,"675 TOWNSEND AV #145","New Haven","CT",""
202,"675 TOWNSEND AV #146","New Haven","CT",""
203,"675 TOWNSEND AV #147","New Haven","CT",""
204,"675 TOWNSEND AV #128","New Haven","CT",""
205,"675 TOWNSEND AV #129","New Haven","CT",""
206,"675 TOWNSEND AV #130","New Haven","CT",""
207,"675 TOWNSEND AV #131","New Haven","CT",""
208,"675 TOWNSEND AV #126","New Haven","CT",""
209,"675 TOWNSEND AV #127","New Haven","CT",""
210,"675 TOWNSEND AV #122","New Haven","CT",""
211,"675 TOWNSEND AV #123","New Haven","CT",""
212,"675 TOWNSEND AV #124","New Haven","CT",""
213,"675 TOWNSEND AV #125","New Haven","CT",""
214,"675 TOWNSEND AV #112","New Haven","CT",""
215,"675 TOWNSEND AV #113","New Haven","CT",""
216,"675 TOWNSEND AV #114","New Haven","CT",""
217,"675 TOWNSEND AV #115","New Haven","CT",""
218,"675 TOWNSEND AV #108","New Haven","CT",""
219,"675 TOWNSEND AV #109","New Haven","CT",""
220,"675 TOWNSEND AV #110","New Haven","CT",""
221,"675 TOWNSEND AV #111","New Haven","CT",""
222,"675 TOWNSEND AV #104","New Haven","CT",""
223,"675 TOWNSEND AV #105","New Haven","CT",""
224,"675 TOWNSEND AV #106","New Haven","CT",""
225,"675 TOWNSEND AV #107","New Haven","CT",""
226,"675 TOWNSEND AV #101","New Haven","CT",""
227,"675 TOWNSEND AV #102","New Haven","CT",""
228,"675 TOWNSEND AV #103","New Haven","CT",""
229,"108 LAURA LA","New Haven","CT",""
230,"102 LAURA LA","New Haven","CT",""
231,"96 LAURA LA","New Haven","CT",""
232,"LAURA LA","New Haven","CT",""
233,"LAURA LA","New Haven","CT",""
234,"86 LAURA LA","New Haven","CT",""
235,"80 LAURA LA","New Haven","CT",""
236,"76 LAURA LA","New Haven","CT",""
237,"72 LAURA LA","New Haven","CT",""
238,"68 LAURA LA","New Haven","CT",""
239,"62 LAURA LA","New Haven","CT",""
240,"56 LAURA LA","New Haven","CT",""
241,"50 LAURA LA","New Haven","CT",""
242,"46 LAURA LA","New Haven","CT",""
243,"42 LAURA LA","New Haven","CT",""
244,"38 LAURA LA","New Haven","CT",""
245,"32 LAURA LA","New Haven","CT",""
246,"24 LAURA LA","New Haven","CT",""
247,"16 LAURA LA","New Haven","CT",""
