pid,latitude,longitude
2501,41.2890115,-72.8939612
2502,41.2833163,-72.8887483
2503,41.2848953,-72.887711
2504,41.2847887,-72.8878235
2505,41.2845978,-72.8879592
2506,41.2844309,-72.888102
2507,41.2841614,-72.8883025
2508,41.2840225,-72.8884103
2509,41.283935,-72.888536
2510,41.283817,-72.888631
2511,41.283614,-72.888795
2512,41.2829542,-72.8934994
2513,41.2831594,-72.8937565
2514,41.2832563,-72.8937209
2515,41.2833904,-72.8936635
2516,41.2835016,-72.8936348
2517,41.283607,-72.893394
2518,41.283748,-72.893356
2519,41.283882,-72.893309
2520,41.2840318,-72.8934348
2521,41.2841864,-72.8933823
2522,41.284307,-72.8933943
2523,41.2844581,-72.893376
2524,41.284592,-72.8932882
2525,41.284689,-72.893079
2526,41.2848447,-72.8932423
2527,41.284993,-72.893196
2528,41.2850899,-72.892976
2529,41.2852446,-72.8931379
2530,41.285353,-72.892908
2531,41.2855371,-72.893109
2532,41.2856683,-72.8930167
2533,41.2858617,-72.8929928
2534,41.2858053,-72.8925163
2535,41.2858415,-72.891805
2536,41.282958,-72.892381
2537,41.2831532,-72.8923656
2538,41.2832833,-72.8922687
2539,41.2834168,-72.8922309
2540,41.2835401,-72.892208
2541,41.2836937,-72.8922001
2542,41.2838112,-72.8921282
2543,41.2839529,-72.8921197
2544,41.2841454,-72.8920507
2545,41.284331,-72.891971
2546,41.2844856,-72.8919048
2547,41.2846705,-72.8918931
2548,41.2848433,-72.8918428
2549,41.2849669,-72.8917962
2550,41.2851008,-72.891784
2551,41.2852353,-72.8917106
2552,41.2858415,-72.891805
2553,41.2855322,-72.8916709
2554,41.2856515,-72.8916416
2555,41.2857941,-72.8916284
2556,41.2859329,-72.891547
2557,41.2860827,-72.8915168
2558,41.2863032,-72.8914332
2559,41.2864601,-72.8913645
2560,41.2865701,-72.8913629
2561,41.2866675,-72.8913463
2562,41.2867891,-72.8912613
2563,41.2867793,-72.8912638
2564,41.2870467,-72.8912108
2565,41.2869556,-72.8909049
2566,41.2869367,-72.8907621
2567,41.2854764,-72.8910278
2568,41.2865186,-72.8909272
2569,41.2863178,-72.8910001
2570,41.2861776,-72.8909918
2571,41.2860369,-72.8910563
2572,41.285843,-72.891152
2573,41.2857039,-72.8911342
2574,41.2855755,-72.8911798
2575,41.2854344,-72.8912234
2576,41.285303,-72.891304
2577,41.2850575,-72.8913253
2578,41.2848302,-72.8914051
2579,41.2846261,-72.8914637
2580,41.2843923,-72.8914836
2581,41.2841841,-72.8915536
2582,41.2840264,-72.8916056
2583,41.283834,-72.891719
2584,41.2835649,-72.8917029
2585,41.2832984,-72.8917979
2586,41.283099,-72.8919144
2587,41.282957,-72.8919669
2588,41.2854764,-72.8910278
2589,41.282779,-72.891425
2590,41.2829178,-72.8914467
2591,41.2830654,-72.8914173
2592,41.2832957,-72.8913613
2593,41.2835181,-72.8913518
2594,41.283774,-72.8911229
2595,41.284039,-72.891023
2596,41.2854764,-72.8910278
2597,41.2844437,-72.8909145
2598,41.2846865,-72.890975
2599,41.284937,-72.890826
2600,41.2854764,-72.8910278
2601,41.285335,-72.890718
2602,41.2854917,-72.8909404
2603,41.2856481,-72.8907742
2604,41.285831,-72.890613
2605,41.2859973,-72.8906934
2606,41.2861117,-72.8906111
2607,41.286282,-72.8906107
2608,41.2864069,-72.8905754
2609,41.2866093,-72.8905071
2610,41.286837,-72.890426
2611,41.2868209,-72.8900408
2612,41.2866969,-72.890122
2613,41.2865752,-72.890078
2614,41.2864212,-72.890095
2615,41.2863048,-72.8900698
2616,41.286054,-72.890185
2617,41.2858899,-72.8901626
2618,41.28477,-72.8900515
2619,41.2856067,-72.890188
2620,41.2854241,-72.8901888
2621,41.2852774,-72.8901988
2622,41.2851477,-72.8901941
2623,41.2850113,-72.8902301
2624,41.28489,-72.8902525
2625,41.2847838,-72.8902635
2626,41.2846681,-72.8902829
2627,41.2845638,-72.8902878
2628,41.2844463,-72.8903161
2629,41.2842991,-72.8902998
2630,41.284131,-72.8903742
2631,41.283845,-72.8903992
2632,41.2837012,-72.8904134
2633,41.2834312,-72.8904333
2634,41.2832049,-72.890391
2635,41.2830179,-72.8904268
2636,41.282864,-72.8904689
2637,41.2827046,-72.8904651
